batch	n_cells	umi_median	umi_mean	umi_std	umi_min	umi_max	umi_q25	umi_q75	genes_median	genes_mean	genes_std	genes_min	genes_max	genes_q25	genes_q75	mito_median	mito_mean	mito_std	mito_min	mito_max	mito_q25	mito_q75
all	189599	5961.0	5341.5386	4328.524	37.0	45347.0	57.0	8132.0	2931.0	2366.6611743732824	1703.742915962919	29	8756	54.0	3629.0	7.0435176	6.293739	3.1977468	0.0	19.99418	4.757977724075317	8.18844985961914
IGVFDS0746MYRH	20034	5830.0	5622.285	3314.109	37.0	22995.0	4259.0	7463.0	2909.0	2630.890486173505	1325.9605165898672	31	6552	2292.0	3449.0	7.9577684	7.508711	2.7900832	0.0	19.97114	6.706692576408386	8.99067735671997
IGVFDS0956UUQN	24350	5882.5	5204.78	4205.157	37.0	43159.0	56.0	7929.0	2877.0	2308.753593429158	1663.892143462739	32	8535	54.0	3539.0	7.048809	6.252228	3.233499	0.0	19.893698	4.552563667297363	8.208703517913818
IGVFDS2908DIHX	22724	6329.0	5614.1426	4377.4614	37.0	29864.0	61.0	8423.0	3071.0	2476.638795986622	1721.7686977729588	32	7208	58.0	3729.0	7.087075	6.3764095	3.1269922	0.0	19.943121	4.8960734605789185	8.179908514022827
IGVFDS2940LYGK	23900	5919.5	5129.874	4513.4663	37.0	31128.0	49.0	8243.0	2903.0	2248.4246861924685	1787.152559623401	29	7450	46.75	3662.0	7.1655846	6.270571	3.3793566	0.0	19.947659	4.081632614135742	8.430285215377808
IGVFDS3348KRMQ	23279	6228.0	5596.3086	4315.0205	37.0	28705.0	76.0	8308.0	3019.0	2468.283087761502	1685.6628456884953	30	7353	71.0	3674.0	7.046184	6.325866	3.0737877	0.0	19.938717	5.084745407104492	8.084156036376953
IGVFDS5934EZKT	30096	4677.5	4486.2134	4666.4424	37.0	35458.0	44.0	7855.25	2439.0	1937.5968234981392	1818.3711969773628	30	7819	42.0	3505.0	6.1206574	5.309925	3.360636	0.0	19.97406	2.5	7.576975226402283
IGVFDS6247FKDR	21486	6546.0	5845.637	4675.6685	37.0	32103.0	59.0	8929.0	3106.0	2503.502140928977	1779.3513455629138	30	7583	56.0	3832.0	7.155223	6.45324	3.087793	0.0	19.99418	5.0	8.235623598098755
IGVFDS8623ONYE	23730	6080.5	5575.4097	4032.7583	37.0	45347.0	544.25	8031.0	3019.0	2537.3522545301307	1608.4349738847834	31	8756	453.25	3645.0	6.9065523	6.3265724	2.9672568	0.0	19.97677	5.263157844543457	7.888826251029968
