dataset	short_name	modality	measurement_set	total_reads	paired_reads_mapped	alignment_pct	detected_barcodes	pct_reads_in_onlist
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C2_S18	204000000.0	156000000.0	76.4	1610000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C3_S19	179000000.0	137000000.0	76.5	1430000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C4_S20	176000000.0	134000000.0	76.5	1570000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C5_S21	195000000.0	149000000.0	76.2	1630000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C6_S22	200000000.0	153000000.0	76.2	1750000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C7_S23	204000000.0	155000000.0	76.2	1740000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	C8_S24	205000000.0	157000000.0	76.5	1750000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D1_S25	180000000.0	137000000.0	76.3	1610000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D2_S26	170000000.0	130000000.0	76.3	1530000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D3_S27	181000000.0	138000000.0	76.4	1550000.0	97.2
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D4_S28	137000000.0	105000000.0	76.5	1420000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D5_S29	156000000.0	120000000.0	76.6	1510000.0	96.9
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D6_S30	160000000.0	122000000.0	76.7	1510000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D7_S31	165000000.0	127000000.0	76.9	1570000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	D8_S32	161000000.0	122000000.0	76.1	1450000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E1_S33	194000000.0	149000000.0	76.7	1610000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E2_S34	183000000.0	141000000.0	76.7	1610000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E3_S35	198000000.0	152000000.0	76.7	1680000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E4_S36	182000000.0	140000000.0	76.8	1640000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E5_S37	192000000.0	147000000.0	76.5	1520000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E6_S38	189000000.0	144000000.0	76.4	1670000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E7_S39	175000000.0	134000000.0	76.5	1570000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	E8_S40	205000000.0	156000000.0	76.4	1800000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F1_S41	193000000.0	147000000.0	76.3	1200000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F2_S42	187000000.0	143000000.0	76.2	1150000.0	97.1
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F3_S43	200000000.0	153000000.0	76.5	1180000.0	97.2
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F4_S44	197000000.0	151000000.0	76.8	1200000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F5_S45	192000000.0	148000000.0	76.8	1180000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F6_S46	176000000.0	135000000.0	76.5	1240000.0	97.0
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	Guide	F7_S47	189000000.0	145000000.0	76.6	1250000.0	96.9
