R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI1194OJNH,IGVFFI7419MEJC,gRNA,IGVFDS6990PWDJ,1,5,IGVFFI3206IZRV,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8984QTIV,IGVFFI7299XKSE,gRNA,IGVFDS6990PWDJ,1,3,IGVFFI3206IZRV,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2672BMGK,IGVFFI4601OYHM,gRNA,IGVFDS5398VEFY,1,5,IGVFFI6854UNOO,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6011YRWS,IGVFFI5438GOAP,gRNA,IGVFDS5398VEFY,1,3,IGVFFI6854UNOO,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI0657OQWX,IGVFFI3976JOTD,hash,IGVFDS8548HJBX,1,5,IGVFFI7159NAZZ,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI2982LMRG,IGVFFI9510GVBG,gRNA,IGVFDS4080NNVH,1,5,IGVFFI8147EZAD,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6059HGWP,IGVFFI7904UTBM,gRNA,IGVFDS4080NNVH,1,3,IGVFFI8147EZAD,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2543LBRQ,IGVFFI2112UGYK,gRNA,IGVFDS1867JBBD,1,3,IGVFFI7592OHYU,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7493NPNR,IGVFFI5330XOLO,gRNA,IGVFDS1867JBBD,1,5,IGVFFI7592OHYU,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8892POQX,IGVFFI2211YVYJ,hash,IGVFDS5151YCLI,1,5,IGVFFI9000NROB,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI0938CWFF,IGVFFI5653GITA,hash,IGVFDS3275TXAD,1,5,IGVFFI6200CVTW,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
