dataset_id	dataset_name	igvf_uploaded	crispr_pipeline	cnmf_programs	energy_distance
Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon WTC11 Cardiomyocyte	?	?	?	?
Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu HUES8 Definitive Endoderm	?	?	?	?
Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu HUES8 Embryonic Stem Cell	?	?	?	?
Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach WTC11 Hepatocyte	?	?	?	?
Engreitz_WTC11-endothelial-cells_TF-Perturb-seq	Engreitz WTC11 Endothelial	?	?	?	?
