batch	n_cells	umi_median	umi_mean	umi_std	umi_min	umi_max	umi_q25	umi_q75	genes_median	genes_mean	genes_std	genes_min	genes_max	genes_q25	genes_q75	mito_median	mito_mean	mito_std	mito_min	mito_max	mito_q25	mito_q75
C8_S24	27301	10040.0	10392.348	3284.2273	4305.0	44850.0	8097.0	12196.0	3497.0	3580.631405443024	678.6231722274091	2500	8101	3083.0	3957.0	2.555697	3.2502935	2.3426926	0.031748552	14.998002	1.7288615703582764	3.984785556793213
D1_S25	21851	8385.0	8689.409	2302.0664	4385.0	41474.0	7064.5	9928.5	3132.0	3233.621161502906	536.2265412331617	2500	7805	2830.0	3517.0	2.4872448	3.147258	2.2583854	0.07935935	14.99464	1.7217028141021729	3.8004226684570312
D2_S26	27544	10745.0	11049.2705	3625.3423	4126.0	43804.0	8478.0	13117.25	3594.0	3668.112837641592	705.1010893562715	2500	8710	3155.0	4071.0	2.576785	3.32477	2.4459183	0.038642865	14.94423	1.7525677680969238	4.030591011047363
D3_S27	25171	9595.0	9898.395	2941.331	4217.0	33863.0	7795.5	11572.5	3382.0	3466.745659687736	623.8889949486289	2500	7203	3004.0	3812.0	2.5632262	3.255829	2.3397582	0.028427934	14.99483	1.762575626373291	3.9045920372009277
D4_S28	26341	10239.0	10574.119	3362.556	4226.0	50742.0	8229.0	12475.0	3522.0	3601.296002429672	676.9595748255224	2500	8649	3111.0	3985.0	2.5888405	3.3126435	2.3890276	0.06076389	14.998725	1.7736045122146606	3.996699571609497
D5_S29	25511	10972.0	11264.107	3740.6165	4231.0	47388.0	8612.5	13384.0	3666.0	3735.936262788601	723.0511535793347	2500	8431	3219.0	4153.0	2.5441794	3.3074672	2.447704	0.038565367	14.954487	1.7388709783554077	3.997336745262146
D6_S30	26106	10191.0	10518.14	3305.8823	4150.0	41434.0	8163.25	12435.75	3501.0	3584.5427104880105	667.1090975629452	2500	8367	3100.0	3965.0	2.5518727	3.2873445	2.4060981	0.07464653	14.971113	1.7413597404956818	3.9990681409835815
D7_S31	24604	9052.0	9392.91	2713.4167	4364.0	29247.0	7457.0	10854.25	3278.0	3374.139367582507	596.7587720620677	2500	7195	2925.0	3695.0	2.579808	3.282545	2.3506384	0.009249838	14.995867	1.7777066826820374	3.9370646476745605
D8_S32	26036	9342.0	9643.098	2774.4749	4093.0	37451.0	7683.0	11181.0	3314.0	3398.9956214472268	596.1422386605595	2500	7483	2952.0	3726.0	2.2771168	2.9488926	2.218013	0.042793564	14.939562	1.5545780956745148	3.5380759239196777
E1_S33	22425	9683.0	10010.55	2980.4243	4127.0	36375.0	7898.0	11693.0	3403.0	3485.4141806020066	628.9527724339155	2500	7866	3017.0	3836.0	2.5127108	3.2147884	2.3357177	0.03065604	14.972815	1.7301274538040161	3.866896152496338
E2_S34	22304	11051.0	11289.128	3681.2866	4228.0	54818.0	8636.75	13518.0	3648.0	3703.5197722381636	698.3617457219059	2500	8274	3196.0	4119.0	2.4729054	3.2570174	2.444566	0.029539188	14.983983	1.700884759426117	3.935931384563446
E3_S35	23934	11715.5	11936.369	4057.868	4398.0	50868.0	9018.25	14371.0	3817.0	3859.5444555861955	752.7766821719972	2500	8858	3324.0	4313.0	2.344519	3.08657	2.3352873	0.028686173	14.990308	1.6017082333564758	3.746311068534851
E4_S36	23534	11706.5	11965.014	4084.4116	4275.0	48546.0	9036.25	14411.75	3788.0	3843.000679867426	754.8583373755225	2500	8461	3312.25	4285.0	2.5675826	3.3143935	2.4234827	0.008889679	14.97754	1.7685648202896118	4.024636626243591
E5_S37	23332	10638.0	10951.953	3585.1636	4279.0	47572.0	8466.0	12967.5	3610.0	3672.936139207955	703.542383165736	2500	9061	3169.0	4073.0	2.428359	3.1534078	2.3427677	0.059391238	14.9908285	1.6481288373470306	3.8633046746253967
E6_S38	24073	11504.0	11780.8545	4015.6118	4022.0	59218.0	8909.0	14196.0	3771.0	3827.440535039256	751.4636719514731	2500	9543	3289.0	4274.0	2.5084505	3.318167	2.5174272	0.06655131	14.994656	1.69927179813385	4.020523548126221
E7_S39	21704	9695.0	10004.717	3004.6995	4169.0	38919.0	7879.75	11726.0	3406.0	3487.664393660155	627.2285239247917	2500	8302	3023.0	3839.0	2.514596	3.263319	2.3806114	0.02945725	14.974578	1.7327885627746582	3.9832892417907715
E8_S40	22687	10113.0	10399.033	3174.043	4305.0	51311.0	8092.0	12261.0	3459.0	3535.9821042887997	645.4441113586232	2500	8334	3058.0	3911.0	2.612891	3.3719318	2.4057362	0.023957834	14.94731	1.8085257411003113	4.110452175140381
F1_S41	11148	7272.5	7580.4106	1673.1848	4455.0	25090.0	6416.0	8412.25	2840.0	2956.343290276283	420.3575869098966	2500	6720	2649.0	3139.0	3.437784	4.0970545	2.4742737	0.03385813	14.991047	2.457478642463684	4.985808253288269
F2_S42	10678	7313.0	7656.796	1839.5918	4369.0	33802.0	6430.0	8471.75	2852.0	2976.247611912343	446.3704851714868	2500	7083	2658.0	3156.0	3.58325	4.213278	2.4895754	0.08628873	14.996322	2.5430601239204407	5.153787851333618
F3_S43	11979	7381.0	7748.2583	2527.698	4267.0	193069.0	6486.0	8545.5	2872.0	2992.720844811754	456.89716886563895	2500	11413	2668.0	3170.0	3.7158024	4.353602	2.500115	0.090979986	14.998696	2.680033802986145	5.30197286605835
F4_S44	15149	8201.0	8542.066	2216.1755	4378.0	25894.0	6963.0	9686.0	3030.0	3146.9370915571985	512.1192958299445	2500	6428	2767.0	3393.0	3.6038246	4.328254	2.6037996	0.09068532	14.990048	2.6167654991149902	5.244267463684082
F5_S45	14709	7962.0	8317.305	2190.0344	4495.0	69426.0	6857.0	9334.0	2979.0	3099.368617853015	497.5767715151107	2500	8385	2736.0	3330.0	3.5177305	4.1589437	2.4733698	0.04054602	14.98175	2.5313823223114014	5.038149356842041
F6_S46	15129	7831.0	8184.2827	2078.137	4333.0	32469.0	6762.0	9191.0	2976.0	3092.9268292682927	488.6911713409493	2500	6953	2735.0	3318.0	3.7010677	4.411138	2.614982	0.11196119	14.994463	2.672672748565674	5.350832939147949
F7_S47	15069	7741.0	8120.1567	2249.6794	4087.0	86581.0	6687.0	9076.0	2939.0	3069.971796403212	499.5312567207703	2500	10054	2715.0	3281.0	3.716069	4.387501	2.5514243	0.08118766	14.925703	2.6774919033050537	5.3151373863220215
