accession	lab	samples_summaries	preferred_assay_titles	control_type	auxiliary_sets	construct_library_sets	files	status	creation_timestamp
IGVFDS1584ZJUM	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW330) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS8548HJBX	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW333) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS5398VEFY	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW314) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS1867JBBD	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW325) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS3275TXAD	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW311) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS3599AKSM	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW332) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS5304ZOXD	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW316) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS0814DYDR	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW328) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS6980CXOR	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW326) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS0119GHBM	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW315) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS4080NNVH	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW317) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS6688BORQ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW318) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS9568EYXJ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW334) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS0860HOHE	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW335) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS2933CBPV	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW312) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS7181KBXZ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW313) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS9367JFNB	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW321) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS6990PWDJ	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW329) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS6472JBHY	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW322) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
IGVFDS2653YSTF	Gary Hon, UT	Homo sapiens (male, Japanese) GM25256 (WTC-11) differentiated cell specimen induced to cardiac muscle cell for 12 days, (cellular sub pool: subpool_LW320) modified with CRISPRi Sp-dCas9, 3 week(s) after transduction (lentivirus) with a guide (sgRNA) library targeting accessible genome regions, transcription start sites, TF genes in many genomic loci	Perturb-seq					released	
