short_name	gene_name	n_cells_assigned	n_guides	label_canonical
Hon CM	CDX2	538	6	tf_targeting
Hon CM	CDX4	642	6	tf_targeting
Hon CM	CEBPA	3144	6	tf_targeting
Hon CM	CEBPB	1357	6	tf_targeting
Hon CM	CEBPD	1346	6	tf_targeting
Hon CM	CEBPE	799	6	tf_targeting
Hon CM	CEBPG	1241	6	tf_targeting
Hon CM	CEBPZ	116	6	tf_targeting
Hon CM	CENPA	1167	12	tf_targeting
Hon CM	CENPB	1320	6	tf_targeting
Hon CM	CENPBD1	1132	6	tf_targeting
Hon CM	CENPT	14	6	tf_targeting
Hon CM	CGGBP1	2770	12	tf_targeting
Hon CM	CHAMP1	1759	6	tf_targeting
Hon CM	CHCHD3	275	6	tf_targeting
Hon CM	CHD7	2990	6	tf_targeting
Hon CM	CHMP2A	39	6	tf_targeting
Hon CM	CIC	1248	6	tf_targeting
Hon CM	CIR1	67	6	tf_targeting
Hon CM	CIZ1	1625	6	tf_targeting
Hon CM	CLOCK	1432	6	tf_targeting
Hon CM	CNBP	2011	6	tf_targeting
Hon CM	CNOT7	828	6	tf_targeting
Hon CM	CNOT8	1090	6	tf_targeting
Hon CM	COX20	911	6	tf_targeting
Hon CM	CPEB1	2412	12	tf_targeting
Hon CM	CPXCR1	1079	6	tf_targeting
Hon CM	CRAMP1L	2927	12	tf_targeting
Hon CM	CREB1	1122	6	tf_targeting
Hon CM	CREB3	1025	6	tf_targeting
Hon CM	CREB3L1	1223	6	tf_targeting
Hon CM	CREB3L2	1052	6	tf_targeting
Hon CM	CREB3L3	354	6	tf_targeting
Hon CM	CREB3L4	895	6	tf_targeting
Hon CM	CREB5	1362	12	tf_targeting
Hon CM	CREBBP	1805	6	tf_targeting
Hon CM	CREBL2	1561	6	tf_targeting
Hon CM	CREBRF	1430	12	tf_targeting
Hon CM	CREBZF	2082	6	tf_targeting
Hon CM	CREM	1577	6	tf_targeting
Hon CM	CRTC1	2035	6	tf_targeting
Hon CM	CRTC2	2284	6	tf_targeting
Hon CM	CRTC3	1509	6	tf_targeting
Hon CM	CRX	742	6	tf_targeting
Hon CM	CSNK2A1	328	6	tf_targeting
Hon CM	CSRNP1	2541	6	tf_targeting
Hon CM	CSRNP2	1028	6	tf_targeting
Hon CM	CSRNP3	2257	12	tf_targeting
Hon CM	CTBP1	2677	6	tf_targeting
Hon CM	CTBP2	1542	6	tf_targeting
Hon CM	CTCF	444	6	tf_targeting
Hon CM	CTCFL	1011	6	tf_targeting
Hon CM	CTNNB1	73	6	tf_targeting
Hon CM	CUX1	1246	6	tf_targeting
Hon CM	CUX2	3346	6	tf_targeting
Hon CM	CXXC1	63	6	tf_targeting
Hon CM	CXXC4	1093	6	tf_targeting
Hon CM	CXXC5	1317	6	tf_targeting
Hon CM	DACH1	475	6	tf_targeting
Hon CM	DACH2	832	6	tf_targeting
Hon CM	DAXX	1089	12	tf_targeting
Hon CM	DBP	922	6	tf_targeting
Hon CM	DBX1	2003	6	tf_targeting
Hon CM	DBX2	1518	6	tf_targeting
Hon CM	DCP1A	1086	6	tf_targeting
Hon CM	DDB1	1242	12	tf_targeting
Hon CM	DDB2	830	6	tf_targeting
Hon CM	DDIT3	1158	6	tf_targeting
Hon CM	DEAF1	1024	6	tf_targeting
Hon CM	DEK	998	6	tf_targeting
Hon CM	DENND4A	778	6	tf_targeting
Hon CM	DHX9	368	6	tf_targeting
Hon CM	DLX1	1244	6	tf_targeting
Hon CM	DLX2	635	6	tf_targeting
Hon CM	DLX3	1154	6	tf_targeting
Hon CM	DLX4	988	6	tf_targeting
Hon CM	DLX5	1213	6	tf_targeting
Hon CM	DLX6	1060	6	tf_targeting
Hon CM	DMAP1	62	6	tf_targeting
Hon CM	DMBX1	561	6	tf_targeting
Hon CM	DMRT1	1050	6	tf_targeting
Hon CM	DMRT2	1265	6	tf_targeting
Hon CM	DMRT3	3457	6	tf_targeting
Hon CM	DMRTA1	1781	6	tf_targeting
Hon CM	DMRTA2	1688	6	tf_targeting
Hon CM	DMRTB1	2002	6	tf_targeting
Hon CM	DMRTC2	633	6	tf_targeting
Hon CM	DMTF1	968	6	tf_targeting
Hon CM	DNAJC1	2824	6	tf_targeting
Hon CM	DNAJC19	1480	3	positive_control
Hon CM	DNAJC2	10	6	tf_targeting
Hon CM	DNAJC21	1916	6	tf_targeting
Hon CM	DNMT1	90	6	tf_targeting
Hon CM	DNTTIP1	743	6	tf_targeting
Hon CM	DOT1L	417	6	tf_targeting
Hon CM	DPF1	2861	12	tf_targeting
Hon CM	DPF2	1365	12	tf_targeting
Hon CM	DPF3	2496	6	tf_targeting
Hon CM	DPRX	804	6	tf_targeting
Hon CM	DR1	25	6	tf_targeting
Hon CM	DRAP1	1584	6	tf_targeting
Hon CM	DRGX	1378	6	tf_targeting
Hon CM	DUXA	1203	6	tf_targeting
Hon CM	DZIP1	1048	6	tf_targeting
Hon CM	E2F1	1324	6	tf_targeting
Hon CM	E2F2	4325	6	tf_targeting
Hon CM	E2F3	2982	12	tf_targeting
Hon CM	E2F4	464	6	tf_targeting
Hon CM	E2F5	1061	6	tf_targeting
Hon CM	E2F6	962	6	tf_targeting
Hon CM	E2F7	2913	6	tf_targeting
Hon CM	E2F8	2072	6	tf_targeting
Hon CM	E4F1	141	6	tf_targeting
Hon CM	EBF1	619	6	tf_targeting
Hon CM	EBF2	2120	6	tf_targeting
Hon CM	EBF3	1475	6	tf_targeting
Hon CM	EBF4	1673	6	tf_targeting
Hon CM	EEA1	1598	6	tf_targeting
Hon CM	EGR1	1322	12	tf_targeting
Hon CM	EGR2	1290	6	tf_targeting
Hon CM	EGR3	1051	6	tf_targeting
Hon CM	EGR4	1520	6	tf_targeting
Hon CM	EHF	553	6	tf_targeting
Hon CM	ELF1	827	6	tf_targeting
Hon CM	ELF2	1277	6	tf_targeting
Hon CM	ELF3	863	6	tf_targeting
Hon CM	ELF4	1663	6	tf_targeting
Hon CM	ELF5	570	6	tf_targeting
Hon CM	ELK1	564	6	tf_targeting
Hon CM	ELK3	1085	6	tf_targeting
Hon CM	ELK4	989	6	tf_targeting
Hon CM	ELMSAN1	1449	12	tf_targeting
Hon CM	ELP3	12	6	tf_targeting
Hon CM	EMX1	1995	12	tf_targeting
Hon CM	EMX2	748	6	tf_targeting
Hon CM	EN1	625	6	tf_targeting
Hon CM	EN2	1312	6	tf_targeting
Hon CM	ENO1	24	6	tf_targeting
Hon CM	EOMES	240	6	tf_targeting
Hon CM	EP300	818	6	tf_targeting
Hon CM	EP400	130	6	tf_targeting
Hon CM	EPAS1	2247	6	tf_targeting
Hon CM	ERCC2	16	6	tf_targeting
Hon CM	ERCC3	18	6	tf_targeting
Hon CM	ERCC6	517	6	tf_targeting
Hon CM	ERCC8	801	6	tf_targeting
Hon CM	ERF	884	6	tf_targeting
Hon CM	ERG	2680	12	tf_targeting
Hon CM	ESR1	2924	12	tf_targeting
Hon CM	ESR2	6493	6	tf_targeting
Hon CM	ESRRA	3217	6	tf_targeting
Hon CM	ESRRB	1223	6	tf_targeting
Hon CM	ESRRG	6595	30	tf_targeting
Hon CM	ESX1	1149	6	tf_targeting
Hon CM	ETF1	361	6	tf_targeting
Hon CM	ETS1	1841	6	tf_targeting
Hon CM	ETS2	1008	6	tf_targeting
Hon CM	ETV1	755	6	tf_targeting
Hon CM	ETV2	987	6	tf_targeting
Hon CM	ETV3	1762	6	tf_targeting
Hon CM	ETV3L	745	6	tf_targeting
Hon CM	ETV4	447	6	tf_targeting
Hon CM	ETV5	1896	6	tf_targeting
Hon CM	ETV6	854	6	tf_targeting
Hon CM	ETV7	833	6	tf_targeting
Hon CM	EVX1	976	6	tf_targeting
Hon CM	EVX2	811	6	tf_targeting
Hon CM	EWSR1	488	6	tf_targeting
Hon CM	EZH1	1546	6	tf_targeting
Hon CM	EZH2	389	6	tf_targeting
Hon CM	FAM170A	1056	6	tf_targeting
Hon CM	FAM200B	1370	6	tf_targeting
Hon CM	FBXL19	2808	6	tf_targeting
Hon CM	FBXO16	1346	6	tf_targeting
Hon CM	FERD3L	999	6	tf_targeting
Hon CM	FEV	1441	6	tf_targeting
Hon CM	FEZF1	959	6	tf_targeting
