family	n_members	n_disease_genes	fraction_disease_genes	n_members_with_data_HonCM	n_members_sig_HonCM	max_distance_HonCM	mean_distance_HonCM	n_members_with_data_HuangfuDE	n_members_sig_HuangfuDE	max_distance_HuangfuDE	mean_distance_HuangfuDE	n_members_with_data_HuangfuESC	n_members_sig_HuangfuESC	max_distance_HuangfuESC	mean_distance_HuangfuESC	n_sig_in_any_lineage	n_lineages_with_any_sig_member	candidate_for_deepdive
DBD:C2H2 ZF	483	47	0.09730848861283643	321	20	23.22548828125	2.13851762337848	472	11	116.64827270507811	92.95858596543134	472	15	664.8975555419922	527.2793398065082	46	3	True
More than 3 adjacent zinc fingers	177	18	0.1016949152542373	119	5	22.612918090820312	1.8799953685087314	174	3	114.56685180664064	93.74838232281564	174	6	649.0390594482421	523.7662517328372	14	3	True
DBD:Homeodomain	52	18	0.34615384615384615	50	2	13.273873901367187	1.807449523925781	50	5	112.6226806640625	95.46224450683594	50	4	637.5805694580079	544.4969588012696	11	3	True
DBD:Myb/SANT	28	4	0.14285714285714285	27	7	34.74073486328125	4.95709228515625	28	2	119.111474609375	94.05414799281529	28	2	638.3725006103516	544.5584186008998	11	3	True
DBD:bHLH	49	9	0.1836734693877551	49	1	9.543978881835937	1.5700259461694834	49	3	115.99132080078124	94.12465583645567	49	3	625.1783905029297	530.8872037926499	7	3	True
Factors with multiple dispersed zinc fingers	47	11	0.23404255319148937	37	5	56.10064697265625	4.406933676229941	46	1	134.39690551757812	92.84667822796366	46	1	602.4493835449218	528.7977799788765	7	3	True
DBD:HMG/Sox	30	10	0.3333333333333333	29	5	23.52938842773437	3.0324365023908944	29	1	112.61698608398436	93.34042295258621	29	0	598.1994476318359	538.4323290594692	6	2	True
Three-zinc finger Kruppel-related	28	5	0.17857142857142858	28	0	2.733346557617188	1.3808708190917969	28	2	116.35934448242188	96.38938903808594	28	4	625.4072631835937	536.1102552141463	6	2	True
HOX	49	12	0.24489795918367346	49	0	3.400726318359375	1.4101683324697065	49	2	113.39930419921876	94.42662228954082	49	2	631.0649383544921	534.7670600112604	4	2	True
Ets-related	27	6	0.2222222222222222	27	1	5.763836669921875	1.6285185637297455	27	1	116.06377563476562	93.74063969364872	27	2	618.6721221923829	529.4095985695168	4	3	True
Paired-related HD factors	28	16	0.5714285714285714	28	0	4.5703125	1.42137451171875	28	2	112.20086669921876	94.95648629324776	28	1	605.2818969726562	532.7709910801478	3	2	True
FOX	27	10	0.37037037037037035	27	1	6.0730743408203125	1.9018562599464701	27	0	106.88345336914062	94.55370777271412	27	2	617.4149536132812	538.3467152913412	3	2	True
DBD:MBD	8	1	0.125	8	2	7.2120361328125	3.021514892578125	8	1	117.37674560546876	93.81375579833986	8	0	530.3860900878906	489.6505695343017	3	2	True
Tal-related	21	8	0.38095238095238093	21	0	4.2501068115234375	1.3473298572358632	21	0	105.12757568359376	91.19083426339286	21	2	614.0195373535156	521.7338530040922	2	1	True
POU domain factors	18	8	0.4444444444444444	18	1	23.69264831542969	2.822538587782118	18	1	110.92860107421876	92.16398688422309	18	0	584.0865234375	537.7263498942058	2	2	True
bHLH-ZIP	17	9	0.5294117647058824	16	1	5.512445068359375	1.7666751861572265	16	0	107.24592895507811	92.58976745605469	16	1	620.1442443847657	533.6254642486572	2	2	True
Thyroid hormone receptor-related factors (NR1)	16	10	0.625	16	1	7.457257080078125	1.9755214691162108	16	1	113.08827514648438	96.54039611816407	16	0	587.0199645996094	525.2333208084107	2	2	True
DBD:AT hook	15	10	0.6666666666666666	15	1	4.828997802734375	2.0751973470052083	15	0	106.76753540039064	91.55893351236979	15	1	618.0992706298828	519.8528651936849	2	2	True
DBD:bZIP	14	1	0.07142857142857142	14	1	7.337628173828125	2.3172927856445313	14	0	98.39826049804688	91.68834054129465	14	1	622.8770050048828	539.3718113490513	2	2	True
DBD:CxxC	9	3	0.3333333333333333	9	2	11.422235107421876	2.804878404405382	9	0	104.86182250976564	94.94444308810765	9	0	563.5106079101563	520.2788065592448	2	1	True
Other factors with up to three adjacent zinc fingers	9	1	0.1111111111111111	8	1	14.172366333007812	3.298489761352539	9	1	113.98397827148438	94.85886501736111	9	0	587.7926055908204	522.6339803059896	2	2	True
HD-LIM	8	2	0.25	8	0	2.4652435302734377	1.3737472534179687	8	1	109.92597045898438	92.89019241333008	8	1	605.4789672851563	532.2086967468261	2	2	True
