batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max	dataset	short_name
IGVFDS8493OWMF	37509	394.0	614.6465381641739	689.8260462852919	1.0	8335.0	68.0	898.0	2.700738489429204	1.7528887288714887	0	46	2.0	36370	7913	0.9696339545175824							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS8548HJBX	38802	416.0	654.6838565022422	742.4346669793974	1.0	9815.0	101.0	933.0	2.7831039637132107	1.568522046297618	0	16	3.0	38208	7711	0.9846915107468688							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS9367JFNB	42155	158.0	353.2823864310283	537.0098478670301	1.0	6740.0	42.0	414.0	2.4840232475388446	1.67671050195007	0	47	2.0	39986	10188	0.9485470288222038							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS9568EYXJ	39053	361.0	574.8986761580417	655.2612729364079	1.0	6548.0	87.0	815.0	2.7302383939774155	1.5422376321023237	0	13	2.0	38353	7950	0.9820756407958416							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
IGVFDS9699UXJW	39079	353.0	561.4207630696794	638.5435979759059	1.0	7700.0	77.0	810.0	2.681261035338673	1.541929683276697	0	20	2.0	38160	8201	0.9764835333555106							Hon_WTC11-cardiomyocyte-differentiation_TF-Perturb-seq	Hon CM
all	269491	372.0	634.784564234056	833.4880002423766	1.0	13635.0	11.0	906.0	6.972307052925701	6.32697046182588	0	146	6.0	243972	29153	0.9053066707236976	14151.0	94.0	132.78029821214048	166.3851634344403	0.0	6134.0	Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS0788TUIL	30351	428.0	621.4823234819281	687.2452763943963	1.0	13635.0	143.0	858.0	7.815788606635696	5.766845745727454	0	46	7.0	28777	2271	0.9481400942308326							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS1313VGHL	27292	636.5	922.986772680639	1027.638514330033	1.0	11870.0	191.0	1301.0	8.030485123845816	5.920901543980378	0	71	7.0	26201	1863	0.9600249157262202							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS1403KZYV	31953	391.0	676.9048289675461	896.4990411152756	1.0	10706.0	11.0	945.0	7.121553531749758	6.391480499426224	0	116	6.0	28956	3536	0.9062059900478828							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS1437XFJK	33773	407.0	682.3509312172446	898.8466068099856	1.0	10108.0	15.0	947.0	7.88857963461937	8.450992492464712	0	146	6.0	31459	3365	0.9314837296064904							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
