batch	dataset	short_name	n_cells	umi_median	genes_median	mito_median	guide_umi_median	guides_per_cell_mean
IGVFDS2908DIHX	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	15984	7479.0	3449.0	7.5831165	2438.0	10.76714214214214
IGVFDS2940LYGK	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	15255	7551.0	3452.0	7.9130383	2876.0	11.03716814159292
IGVFDS3348KRMQ	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	16596	7357.5	3390.0	7.4862204	2632.5	10.846167751265366
IGVFDS5934EZKT	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	16685	7524.0	3409.0	7.2185335	2627.0	10.860173808810307
IGVFDS6247FKDR	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	14933	7918.0	3539.0	7.637922	2857.0	10.88227415790531
IGVFDS8623ONYE	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC	17772	6987.0	3320.0	7.254403	1546.0	10.75405131667792
A1_S1	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22474	10334.0	3674.0	2.2118592	820.0	2.250467206549791
A2_S2	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23641	13083.0	4152.0	2.3677795	750.0	2.1542235946025974
A3_S3	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23901	11607.0	3873.0	2.3240843	757.0	2.2282749675745785
A4_S4	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23386	13432.0	4154.5	2.7376044	806.0	2.177713161720688
A5_S5	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	20980	12108.5	3936.0	2.4747353	969.0	2.307292659675882
A6_S6	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25239	13873.0	4228.0	2.6488566	822.0	2.187883830579658
