gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
COL2A1	NCBIGene:1280	17		OMIM:108300;OMIM:132450;OMIM:150600;OMIM:151210;OMIM:156550;OMIM:183900;OMIM:184250;OMIM:184253;OMIM:184255;OMIM:200610	OMIM:108300;OMIM:132450;OMIM:150600;OMIM:151210;OMIM:156550;OMIM:183900;OMIM:184250;OMIM:184253;OMIM:184255;OMIM:200610;OMIM:271700;OMIM:604864;OMIM:608805;OMIM:609162;OMIM:609508;OMIM:616583;OMIM:619248
PIK3CA	NCBIGene:5290	15		OMIM:114480;OMIM:114500;OMIM:114550;OMIM:155500;OMIM:162900;OMIM:167000;OMIM:182000;OMIM:211980;OMIM:602501;OMIM:606773	OMIM:114480;OMIM:114500;OMIM:114550;OMIM:155500;OMIM:162900;OMIM:167000;OMIM:182000;OMIM:211980;OMIM:602501;OMIM:606773;OMIM:612918;OMIM:613089;OMIM:613659;OMIM:615108;OMIM:619538
FGFR3	NCBIGene:2261	14		OMIM:100800;OMIM:109800;OMIM:114500;OMIM:146000;OMIM:162900;OMIM:187600;OMIM:187601;OMIM:273300;OMIM:602849;OMIM:603956	OMIM:100800;OMIM:109800;OMIM:114500;OMIM:146000;OMIM:162900;OMIM:187600;OMIM:187601;OMIM:273300;OMIM:602849;OMIM:603956;OMIM:610474;OMIM:612247;OMIM:616482;OMIM:620192
TP53	NCBIGene:7157	12		OMIM:114480;OMIM:114500;OMIM:114550;OMIM:137800;OMIM:151623;OMIM:202300;OMIM:259500;OMIM:260350;OMIM:260500;OMIM:607107	OMIM:114480;OMIM:114500;OMIM:114550;OMIM:137800;OMIM:151623;OMIM:202300;OMIM:259500;OMIM:260350;OMIM:260500;OMIM:607107;OMIM:614740;OMIM:618165
KRAS	NCBIGene:3845	12		OMIM:108010;OMIM:109800;OMIM:114480;OMIM:163200;OMIM:211980;OMIM:260350;OMIM:600268;OMIM:601626;OMIM:609942;OMIM:613659	OMIM:108010;OMIM:109800;OMIM:114480;OMIM:163200;OMIM:211980;OMIM:260350;OMIM:600268;OMIM:601626;OMIM:609942;OMIM:613659;OMIM:614470;OMIM:615278
TRPV4	NCBIGene:59341	11		OMIM:113500;OMIM:156530;OMIM:168400;OMIM:181405;OMIM:184095;OMIM:184252;OMIM:600175;OMIM:606071;OMIM:606835;OMIM:613508	OMIM:113500;OMIM:156530;OMIM:168400;OMIM:181405;OMIM:184095;OMIM:184252;OMIM:600175;OMIM:606071;OMIM:606835;OMIM:613508;OMIM:617383
SLC4A1	NCBIGene:6521	11		OMIM:110500;OMIM:112010;OMIM:112050;OMIM:166900;OMIM:179800;OMIM:185020;OMIM:601550;OMIM:601551;OMIM:611162;OMIM:611590	OMIM:110500;OMIM:112010;OMIM:112050;OMIM:166900;OMIM:179800;OMIM:185020;OMIM:601550;OMIM:601551;OMIM:611162;OMIM:611590;OMIM:612653
LMNA	NCBIGene:4000	11		OMIM:115200;OMIM:151660;OMIM:176670;OMIM:181350;OMIM:212112;OMIM:248370;OMIM:605588;OMIM:610140;OMIM:613205;OMIM:616516	OMIM:115200;OMIM:151660;OMIM:176670;OMIM:181350;OMIM:212112;OMIM:248370;OMIM:605588;OMIM:610140;OMIM:613205;OMIM:616516;OMIM:619793
FGFR2	NCBIGene:2263	11		OMIM:101200;OMIM:101400;OMIM:101600;OMIM:123150;OMIM:123500;OMIM:123790;OMIM:149730;OMIM:207410;OMIM:609579;OMIM:613659	OMIM:101200;OMIM:101400;OMIM:101600;OMIM:123150;OMIM:123500;OMIM:123790;OMIM:149730;OMIM:207410;OMIM:609579;OMIM:613659;OMIM:614592
FLNA	NCBIGene:2316	9		OMIM:300048;OMIM:300049;OMIM:300244;OMIM:300321;OMIM:304120;OMIM:305620;OMIM:309350;OMIM:311300;OMIM:314400	OMIM:300048;OMIM:300049;OMIM:300244;OMIM:300321;OMIM:304120;OMIM:305620;OMIM:309350;OMIM:311300;OMIM:314400
GDF5	NCBIGene:8200	9		OMIM:112600;OMIM:113100;OMIM:200700;OMIM:201250;OMIM:228900;OMIM:610017;OMIM:612400;OMIM:615072;OMIM:615298	OMIM:112600;OMIM:113100;OMIM:200700;OMIM:201250;OMIM:228900;OMIM:610017;OMIM:612400;OMIM:615072;OMIM:615298
-	NCBIGene:105259599	9		OMIM:130650;OMIM:174500;OMIM:176270;OMIM:180860;OMIM:188740;OMIM:194071;OMIM:194190;OMIM:609893;OMIM:613985	OMIM:130650;OMIM:174500;OMIM:176270;OMIM:180860;OMIM:188740;OMIM:194071;OMIM:194190;OMIM:609893;OMIM:613985
NRAS	NCBIGene:4893	8		OMIM:114500;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:249400;OMIM:613224;OMIM:614470	OMIM:114500;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:249400;OMIM:613224;OMIM:614470
SCN4A	NCBIGene:6329	8		OMIM:168300;OMIM:170400;OMIM:170500;OMIM:608390;OMIM:613345;OMIM:614198;OMIM:620351;OMIM:620369	OMIM:168300;OMIM:170400;OMIM:170500;OMIM:608390;OMIM:613345;OMIM:614198;OMIM:620351;OMIM:620369
WT1	NCBIGene:7490	8		OMIM:106210;OMIM:136680;OMIM:156240;OMIM:194070;OMIM:194072;OMIM:194080;OMIM:256370;OMIM:608978	OMIM:106210;OMIM:136680;OMIM:156240;OMIM:194070;OMIM:194072;OMIM:194080;OMIM:256370;OMIM:608978
FBN1	NCBIGene:2200	8		OMIM:102370;OMIM:129600;OMIM:154700;OMIM:184900;OMIM:604308;OMIM:608328;OMIM:614185;OMIM:616914	OMIM:102370;OMIM:129600;OMIM:154700;OMIM:184900;OMIM:604308;OMIM:608328;OMIM:614185;OMIM:616914
GNAS	NCBIGene:2778	8		OMIM:103580;OMIM:166350;OMIM:174800;OMIM:219080;OMIM:603233;OMIM:612462;OMIM:612463;OMIM:617686	OMIM:103580;OMIM:166350;OMIM:174800;OMIM:219080;OMIM:603233;OMIM:612462;OMIM:612463;OMIM:617686
COL1A1	NCBIGene:1277	8		OMIM:114000;OMIM:130060;OMIM:166200;OMIM:166210;OMIM:166220;OMIM:166710;OMIM:259420;OMIM:619115	OMIM:114000;OMIM:130060;OMIM:166200;OMIM:166210;OMIM:166220;OMIM:166710;OMIM:259420;OMIM:619115
GJB2	NCBIGene:2706	8		OMIM:124500;OMIM:148210;OMIM:148350;OMIM:149200;OMIM:220290;OMIM:304400;OMIM:601544;OMIM:602540	OMIM:124500;OMIM:148210;OMIM:148350;OMIM:149200;OMIM:220290;OMIM:304400;OMIM:601544;OMIM:602540
SCN5A	NCBIGene:6331	8		OMIM:113900;OMIM:272120;OMIM:601144;OMIM:601154;OMIM:603829;OMIM:603830;OMIM:608567;OMIM:614022	OMIM:113900;OMIM:272120;OMIM:601144;OMIM:601154;OMIM:603829;OMIM:603830;OMIM:608567;OMIM:614022
BRCA2	NCBIGene:675	8		OMIM:114480;OMIM:155255;OMIM:176807;OMIM:194070;OMIM:605724;OMIM:612555;OMIM:613029;OMIM:613347	OMIM:114480;OMIM:155255;OMIM:176807;OMIM:194070;OMIM:605724;OMIM:612555;OMIM:613029;OMIM:613347
FGFR1	NCBIGene:2260	8		OMIM:101600;OMIM:123150;OMIM:146110;OMIM:147950;OMIM:166250;OMIM:190440;OMIM:613001;OMIM:615465	OMIM:101600;OMIM:123150;OMIM:146110;OMIM:147950;OMIM:166250;OMIM:190440;OMIM:613001;OMIM:615465
TP63	NCBIGene:8626	8		OMIM:103285;OMIM:106260;OMIM:129400;OMIM:603543;OMIM:604292;OMIM:605289;OMIM:618149;OMIM:620311	OMIM:103285;OMIM:106260;OMIM:129400;OMIM:603543;OMIM:604292;OMIM:605289;OMIM:618149;OMIM:620311
KRT5	NCBIGene:3852	8		OMIM:131760;OMIM:131960;OMIM:179850;OMIM:609352;OMIM:619555;OMIM:619588;OMIM:619594;OMIM:619599	OMIM:131760;OMIM:131960;OMIM:179850;OMIM:609352;OMIM:619555;OMIM:619588;OMIM:619594;OMIM:619599
PAX6	NCBIGene:5080	8		OMIM:106210;OMIM:120200;OMIM:120430;OMIM:136520;OMIM:148190;OMIM:165550;OMIM:194072;OMIM:604229	OMIM:106210;OMIM:120200;OMIM:120430;OMIM:136520;OMIM:148190;OMIM:165550;OMIM:194072;OMIM:604229
HBB	NCBIGene:3043	8		OMIM:140700;OMIM:141749;OMIM:603902;OMIM:603903;OMIM:611162;OMIM:613985;OMIM:617971;OMIM:617980	OMIM:140700;OMIM:141749;OMIM:603902;OMIM:603903;OMIM:611162;OMIM:613985;OMIM:617971;OMIM:617980
COL7A1	NCBIGene:1294	7		OMIM:131705;OMIM:131750;OMIM:131850;OMIM:132000;OMIM:226600;OMIM:604129;OMIM:607523	OMIM:131705;OMIM:131750;OMIM:131850;OMIM:132000;OMIM:226600;OMIM:604129;OMIM:607523
BRAF	NCBIGene:673	7		OMIM:114500;OMIM:115150;OMIM:155600;OMIM:163950;OMIM:211980;OMIM:613706;OMIM:613707	OMIM:114500;OMIM:115150;OMIM:155600;OMIM:163950;OMIM:211980;OMIM:613706;OMIM:613707
COL1A2	NCBIGene:1278	7		OMIM:166210;OMIM:166220;OMIM:166710;OMIM:225320;OMIM:259420;OMIM:617821;OMIM:619120	OMIM:166210;OMIM:166220;OMIM:166710;OMIM:225320;OMIM:259420;OMIM:617821;OMIM:619120
ERCC6	NCBIGene:2074	7		OMIM:133540;OMIM:211980;OMIM:214150;OMIM:278800;OMIM:600630;OMIM:613761;OMIM:616946	OMIM:133540;OMIM:211980;OMIM:214150;OMIM:278800;OMIM:600630;OMIM:613761;OMIM:616946
LRP5	NCBIGene:4041	7		OMIM:133780;OMIM:144750;OMIM:259770;OMIM:601813;OMIM:601884;OMIM:607634;OMIM:617875	OMIM:133780;OMIM:144750;OMIM:259770;OMIM:601813;OMIM:601884;OMIM:607634;OMIM:617875
MPZ	NCBIGene:4359	7		OMIM:118200;OMIM:145900;OMIM:180800;OMIM:607677;OMIM:607736;OMIM:607791;OMIM:618184	OMIM:118200;OMIM:145900;OMIM:180800;OMIM:607677;OMIM:607736;OMIM:607791;OMIM:618184
TGFBI	NCBIGene:7045	7		OMIM:121820;OMIM:121900;OMIM:122200;OMIM:602082;OMIM:607541;OMIM:608470;OMIM:608471	OMIM:121820;OMIM:121900;OMIM:122200;OMIM:602082;OMIM:607541;OMIM:608470;OMIM:608471
APOE	NCBIGene:348	7		OMIM:104310;OMIM:269600;OMIM:603075;OMIM:606889;OMIM:607822;OMIM:611771;OMIM:617347	OMIM:104310;OMIM:269600;OMIM:603075;OMIM:606889;OMIM:607822;OMIM:611771;OMIM:617347
TERT	NCBIGene:7015	7		OMIM:127550;OMIM:178500;OMIM:601626;OMIM:609135;OMIM:613989;OMIM:614742;OMIM:615134	OMIM:127550;OMIM:178500;OMIM:601626;OMIM:609135;OMIM:613989;OMIM:614742;OMIM:615134
GBA1	NCBIGene:2629	7		OMIM:127750;OMIM:168600;OMIM:230800;OMIM:230900;OMIM:231000;OMIM:231005;OMIM:608013	OMIM:127750;OMIM:168600;OMIM:230800;OMIM:230900;OMIM:231000;OMIM:231005;OMIM:608013
CTNNB1	NCBIGene:1499	7		OMIM:114500;OMIM:114550;OMIM:132600;OMIM:155255;OMIM:167000;OMIM:615075;OMIM:617572	OMIM:114500;OMIM:114550;OMIM:132600;OMIM:155255;OMIM:167000;OMIM:615075;OMIM:617572
GJA1	NCBIGene:2697	6		OMIM:104100;OMIM:164200;OMIM:186100;OMIM:218400;OMIM:257850;OMIM:617525	OMIM:104100;OMIM:164200;OMIM:186100;OMIM:218400;OMIM:257850;OMIM:617525
TBC1D24	NCBIGene:57465	6		OMIM:220500;OMIM:605021;OMIM:608105;OMIM:614617;OMIM:615338;OMIM:616044	OMIM:220500;OMIM:605021;OMIM:608105;OMIM:614617;OMIM:615338;OMIM:616044
POLG	NCBIGene:5428	6		OMIM:157640;OMIM:203700;OMIM:258450;OMIM:603041;OMIM:607459;OMIM:613662	OMIM:157640;OMIM:203700;OMIM:258450;OMIM:603041;OMIM:607459;OMIM:613662
TMEM67	NCBIGene:91147	6		OMIM:216360;OMIM:602152;OMIM:607361;OMIM:610688;OMIM:613550;OMIM:615991	OMIM:216360;OMIM:602152;OMIM:607361;OMIM:610688;OMIM:613550;OMIM:615991
PDGFRB	NCBIGene:5159	6		OMIM:213600;OMIM:228550;OMIM:601812;OMIM:615007;OMIM:616592;OMIM:621091	OMIM:213600;OMIM:228550;OMIM:601812;OMIM:615007;OMIM:616592;OMIM:621091
KRT14	NCBIGene:3861	6		OMIM:125595;OMIM:131760;OMIM:131800;OMIM:131900;OMIM:161000;OMIM:601001	OMIM:125595;OMIM:131760;OMIM:131800;OMIM:131900;OMIM:161000;OMIM:601001
KRT1	NCBIGene:3848	6		OMIM:113800;OMIM:146590;OMIM:600962;OMIM:607654;OMIM:620148;OMIM:620411	OMIM:113800;OMIM:146590;OMIM:600962;OMIM:607654;OMIM:620148;OMIM:620411
PMP22	NCBIGene:5376	6		OMIM:118220;OMIM:118300;OMIM:139393;OMIM:145900;OMIM:162500;OMIM:180800	OMIM:118220;OMIM:118300;OMIM:139393;OMIM:145900;OMIM:162500;OMIM:180800
IFNG	NCBIGene:3458	6		OMIM:607948;OMIM:609135;OMIM:609423;OMIM:609532;OMIM:613254;OMIM:618963	OMIM:607948;OMIM:609135;OMIM:609423;OMIM:609532;OMIM:613254;OMIM:618963
HRAS	NCBIGene:3265	6		OMIM:109800;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:218040	OMIM:109800;OMIM:137550;OMIM:162900;OMIM:163200;OMIM:188470;OMIM:218040
JAK2	NCBIGene:3717	6		OMIM:133100;OMIM:254450;OMIM:263300;OMIM:600880;OMIM:601626;OMIM:614521	OMIM:133100;OMIM:254450;OMIM:263300;OMIM:600880;OMIM:601626;OMIM:614521
IL6	NCBIGene:3569	6		OMIM:108010;OMIM:125853;OMIM:148000;OMIM:222100;OMIM:266600;OMIM:604302	OMIM:108010;OMIM:125853;OMIM:148000;OMIM:222100;OMIM:266600;OMIM:604302
PLEC	NCBIGene:5339	6		OMIM:131950;OMIM:226670;OMIM:226730;OMIM:612138;OMIM:613723;OMIM:616487	OMIM:131950;OMIM:226670;OMIM:226730;OMIM:612138;OMIM:613723;OMIM:616487
OPA1	NCBIGene:4976	6		OMIM:125250;OMIM:165500;OMIM:210000;OMIM:606657;OMIM:616896;OMIM:621481	OMIM:125250;OMIM:165500;OMIM:210000;OMIM:606657;OMIM:616896;OMIM:621481
ABCC8	NCBIGene:6833	6		OMIM:125853;OMIM:240800;OMIM:256450;OMIM:610374;OMIM:618857;OMIM:621196	OMIM:125853;OMIM:240800;OMIM:256450;OMIM:610374;OMIM:618857;OMIM:621196
APC	NCBIGene:324	6		OMIM:114500;OMIM:114550;OMIM:135290;OMIM:175100;OMIM:613659;OMIM:619182	OMIM:114500;OMIM:114550;OMIM:135290;OMIM:175100;OMIM:613659;OMIM:619182
NKX2-5	NCBIGene:1482	6		OMIM:108900;OMIM:187500;OMIM:217095;OMIM:225250;OMIM:614432;OMIM:614435	OMIM:108900;OMIM:187500;OMIM:217095;OMIM:225250;OMIM:614432;OMIM:614435
TTN	NCBIGene:7273	6		OMIM:600334;OMIM:603689;OMIM:604145;OMIM:608807;OMIM:611705;OMIM:613765	OMIM:600334;OMIM:603689;OMIM:604145;OMIM:608807;OMIM:611705;OMIM:613765
PRNP	NCBIGene:5621	6		OMIM:123400;OMIM:137440;OMIM:245300;OMIM:600072;OMIM:603218;OMIM:606688	OMIM:123400;OMIM:137440;OMIM:245300;OMIM:600072;OMIM:603218;OMIM:606688
HNF1A	NCBIGene:6927	6		OMIM:125853;OMIM:142330;OMIM:144700;OMIM:222100;OMIM:600496;OMIM:612520	OMIM:125853;OMIM:142330;OMIM:144700;OMIM:222100;OMIM:600496;OMIM:612520
ERBB2	NCBIGene:2064	5		OMIM:137800;OMIM:167000;OMIM:211980;OMIM:613659;OMIM:619465	OMIM:137800;OMIM:167000;OMIM:211980;OMIM:613659;OMIM:619465
FKTN	NCBIGene:2218	5		OMIM:236670;OMIM:253800;OMIM:611588;OMIM:611615;OMIM:613152	OMIM:236670;OMIM:253800;OMIM:611588;OMIM:611615;OMIM:613152
BCL10	NCBIGene:8915	5		OMIM:137245;OMIM:156240;OMIM:273300;OMIM:605027;OMIM:616098	OMIM:137245;OMIM:156240;OMIM:273300;OMIM:605027;OMIM:616098
PRPH2	NCBIGene:5961	5		OMIM:136880;OMIM:169150;OMIM:608133;OMIM:608161;OMIM:613105	OMIM:136880;OMIM:169150;OMIM:608133;OMIM:608161;OMIM:613105
PSAP	NCBIGene:5660	5		OMIM:249900;OMIM:610539;OMIM:611721;OMIM:611722;OMIM:619491	OMIM:249900;OMIM:610539;OMIM:611721;OMIM:611722;OMIM:619491
PSEN1	NCBIGene:5663	5		OMIM:172700;OMIM:600274;OMIM:607822;OMIM:613694;OMIM:613737	OMIM:172700;OMIM:600274;OMIM:607822;OMIM:613694;OMIM:613737
PTEN	NCBIGene:5728	5		OMIM:158350;OMIM:176807;OMIM:605309;OMIM:607174;OMIM:613028	OMIM:158350;OMIM:176807;OMIM:605309;OMIM:607174;OMIM:613028
RET	NCBIGene:5979	5		OMIM:142623;OMIM:155240;OMIM:162300;OMIM:171300;OMIM:171400	OMIM:142623;OMIM:155240;OMIM:162300;OMIM:171300;OMIM:171400
ARX	NCBIGene:170302	5		OMIM:300004;OMIM:300215;OMIM:300419;OMIM:308350;OMIM:309510	OMIM:300004;OMIM:300215;OMIM:300419;OMIM:308350;OMIM:309510
AR	NCBIGene:367	5		OMIM:300068;OMIM:300633;OMIM:301120;OMIM:312300;OMIM:313200	OMIM:300068;OMIM:300633;OMIM:301120;OMIM:312300;OMIM:313200
ENPP1	NCBIGene:5167	5		OMIM:125853;OMIM:208000;OMIM:601665;OMIM:613312;OMIM:615522	OMIM:125853;OMIM:208000;OMIM:601665;OMIM:613312;OMIM:615522
AKT1	NCBIGene:207	5		OMIM:114480;OMIM:114500;OMIM:167000;OMIM:176920;OMIM:615109	OMIM:114480;OMIM:114500;OMIM:167000;OMIM:176920;OMIM:615109
DSP	NCBIGene:1832	5		OMIM:605676;OMIM:607450;OMIM:609638;OMIM:612908;OMIM:615821	OMIM:605676;OMIM:607450;OMIM:609638;OMIM:612908;OMIM:615821
SLC2A1	NCBIGene:6513	5		OMIM:601042;OMIM:606777;OMIM:608885;OMIM:612126;OMIM:614847	OMIM:601042;OMIM:606777;OMIM:608885;OMIM:612126;OMIM:614847
MECP2	NCBIGene:4204	5		OMIM:300055;OMIM:300260;OMIM:300496;OMIM:300673;OMIM:312750	OMIM:300055;OMIM:300260;OMIM:300496;OMIM:300673;OMIM:312750
NOTCH3	NCBIGene:4854	5		OMIM:125310;OMIM:130720;OMIM:608600;OMIM:615293;OMIM:621295	OMIM:125310;OMIM:130720;OMIM:608600;OMIM:615293;OMIM:621295
KCNJ11	NCBIGene:3767	5		OMIM:125853;OMIM:601820;OMIM:610582;OMIM:616329;OMIM:618856	OMIM:125853;OMIM:601820;OMIM:610582;OMIM:616329;OMIM:618856
FHL1	NCBIGene:2273	5		OMIM:300280;OMIM:300695;OMIM:300696;OMIM:300717;OMIM:300718	OMIM:300280;OMIM:300695;OMIM:300696;OMIM:300717;OMIM:300718
FLNB	NCBIGene:2317	5		OMIM:108720;OMIM:108721;OMIM:112310;OMIM:150250;OMIM:272460	OMIM:108720;OMIM:108721;OMIM:112310;OMIM:150250;OMIM:272460
GATA1	NCBIGene:2623	5		OMIM:159595;OMIM:300367;OMIM:300835;OMIM:301083;OMIM:314050	OMIM:159595;OMIM:300367;OMIM:300835;OMIM:301083;OMIM:314050
GATA4	NCBIGene:2626	5		OMIM:187500;OMIM:607941;OMIM:614429;OMIM:614430;OMIM:615542	OMIM:187500;OMIM:607941;OMIM:614429;OMIM:614430;OMIM:615542
GATA6	NCBIGene:2627	5		OMIM:187500;OMIM:217095;OMIM:600001;OMIM:614474;OMIM:614475	OMIM:187500;OMIM:217095;OMIM:600001;OMIM:614474;OMIM:614475
GDF6	NCBIGene:392255	5		OMIM:118100;OMIM:613094;OMIM:613703;OMIM:615360;OMIM:617898	OMIM:118100;OMIM:613094;OMIM:613703;OMIM:615360;OMIM:617898
GJB6	NCBIGene:10804	5		OMIM:129500;OMIM:220290;OMIM:304400;OMIM:612643;OMIM:612645	OMIM:129500;OMIM:220290;OMIM:304400;OMIM:612643;OMIM:612645
HBA1	NCBIGene:3039	5		OMIM:140700;OMIM:604131;OMIM:613978;OMIM:617973;OMIM:617981	OMIM:140700;OMIM:604131;OMIM:613978;OMIM:617973;OMIM:617981
HOXD13	NCBIGene:3239	5		OMIM:113200;OMIM:113300;OMIM:186000;OMIM:186300;OMIM:610713	OMIM:113200;OMIM:113300;OMIM:186000;OMIM:186300;OMIM:610713
IFNGR1	NCBIGene:3459	5		OMIM:209950;OMIM:600263;OMIM:607948;OMIM:610424;OMIM:615978	OMIM:209950;OMIM:600263;OMIM:607948;OMIM:610424;OMIM:615978
COL4A1	NCBIGene:1282	5		OMIM:175780;OMIM:180000;OMIM:611773;OMIM:614519;OMIM:618564	OMIM:175780;OMIM:180000;OMIM:611773;OMIM:614519;OMIM:618564
COL11A2	NCBIGene:1302	5		OMIM:184840;OMIM:215150;OMIM:601868;OMIM:609706;OMIM:614524	OMIM:184840;OMIM:215150;OMIM:601868;OMIM:609706;OMIM:614524
COL11A1	NCBIGene:1301	5		OMIM:154780;OMIM:228520;OMIM:603932;OMIM:604841;OMIM:618533	OMIM:154780;OMIM:228520;OMIM:603932;OMIM:604841;OMIM:618533
KCNQ1	NCBIGene:3784	5		OMIM:130650;OMIM:192500;OMIM:220400;OMIM:607554;OMIM:609621	OMIM:130650;OMIM:192500;OMIM:220400;OMIM:607554;OMIM:609621
NOG	NCBIGene:9241	5		OMIM:184460;OMIM:185800;OMIM:186500;OMIM:186570;OMIM:611377	OMIM:184460;OMIM:185800;OMIM:186500;OMIM:186570;OMIM:611377
KIF1A	NCBIGene:547	5		OMIM:201300;OMIM:610357;OMIM:614213;OMIM:614255;OMIM:620607	OMIM:201300;OMIM:610357;OMIM:614213;OMIM:614255;OMIM:620607
KIT	NCBIGene:3815	5		OMIM:154800;OMIM:172800;OMIM:273300;OMIM:601626;OMIM:606764	OMIM:154800;OMIM:172800;OMIM:273300;OMIM:601626;OMIM:606764
F5	NCBIGene:2153	5		OMIM:188055;OMIM:227400;OMIM:600880;OMIM:601367;OMIM:614389	OMIM:188055;OMIM:227400;OMIM:600880;OMIM:601367;OMIM:614389
MAPT	NCBIGene:4137	5		OMIM:168600;OMIM:172700;OMIM:260540;OMIM:600274;OMIM:601104	OMIM:168600;OMIM:172700;OMIM:260540;OMIM:600274;OMIM:601104
FLCN	NCBIGene:201163	5		OMIM:114500;OMIM:135150;OMIM:144700;OMIM:173600;OMIM:610883	OMIM:114500;OMIM:135150;OMIM:144700;OMIM:173600;OMIM:610883
CEP290	NCBIGene:80184	5		OMIM:610188;OMIM:610189;OMIM:611134;OMIM:611755;OMIM:615991	OMIM:610188;OMIM:610189;OMIM:611134;OMIM:611755;OMIM:615991
MET	NCBIGene:4233	5		OMIM:114550;OMIM:605074;OMIM:607278;OMIM:616705;OMIM:620019	OMIM:114550;OMIM:605074;OMIM:607278;OMIM:616705;OMIM:620019
CDH1	NCBIGene:999	5		OMIM:114480;OMIM:119580;OMIM:137215;OMIM:167000;OMIM:608089	OMIM:114480;OMIM:119580;OMIM:137215;OMIM:167000;OMIM:608089
MT-TS1	NCBIGene:4574	5		OMIM:220110;OMIM:500008;OMIM:540000;OMIM:545000;OMIM:580000	OMIM:220110;OMIM:500008;OMIM:540000;OMIM:545000;OMIM:580000
MYH6	NCBIGene:4624	5		OMIM:192600;OMIM:613251;OMIM:613252;OMIM:614089;OMIM:614090	OMIM:192600;OMIM:613251;OMIM:613252;OMIM:614089;OMIM:614090
MYH7	NCBIGene:4625	5		OMIM:160500;OMIM:192600;OMIM:255160;OMIM:608358;OMIM:613426	OMIM:160500;OMIM:192600;OMIM:255160;OMIM:608358;OMIM:613426
NF1	NCBIGene:4763	5		OMIM:162200;OMIM:162210;OMIM:193520;OMIM:601321;OMIM:607785	OMIM:162200;OMIM:162210;OMIM:193520;OMIM:601321;OMIM:607785
NLRP3	NCBIGene:114548	5		OMIM:120100;OMIM:148200;OMIM:191900;OMIM:607115;OMIM:617772	OMIM:120100;OMIM:148200;OMIM:191900;OMIM:607115;OMIM:617772
KRT10	NCBIGene:3858	5		OMIM:146600;OMIM:607602;OMIM:609165;OMIM:620150;OMIM:620707	OMIM:146600;OMIM:607602;OMIM:609165;OMIM:620150;OMIM:620707
CAV3	NCBIGene:859	5		OMIM:123320;OMIM:192600;OMIM:606072;OMIM:611818;OMIM:614321	OMIM:123320;OMIM:192600;OMIM:606072;OMIM:611818;OMIM:614321
UGT1A1	NCBIGene:54658	5		OMIM:143500;OMIM:218800;OMIM:237900;OMIM:601816;OMIM:606785	OMIM:143500;OMIM:218800;OMIM:237900;OMIM:601816;OMIM:606785
WDR19	NCBIGene:57728	5		OMIM:614376;OMIM:614377;OMIM:614378;OMIM:616307;OMIM:619867	OMIM:614376;OMIM:614377;OMIM:614378;OMIM:616307;OMIM:619867
ACTB	NCBIGene:60	5		OMIM:243310;OMIM:604919;OMIM:607371;OMIM:620470;OMIM:620475	OMIM:243310;OMIM:604919;OMIM:607371;OMIM:620470;OMIM:620475
WFS1	NCBIGene:7466	5		OMIM:116400;OMIM:125853;OMIM:222300;OMIM:600965;OMIM:614296	OMIM:116400;OMIM:125853;OMIM:222300;OMIM:600965;OMIM:614296
CASP8	NCBIGene:841	4		OMIM:114480;OMIM:114550;OMIM:211980;OMIM:607271	OMIM:114480;OMIM:114550;OMIM:211980;OMIM:607271
RYR1	NCBIGene:6261	4		OMIM:117000;OMIM:145600;OMIM:255320;OMIM:619542	OMIM:117000;OMIM:145600;OMIM:255320;OMIM:619542
COL4A3	NCBIGene:1285	4		OMIM:104200;OMIM:301050;OMIM:620320;OMIM:620536	OMIM:104200;OMIM:301050;OMIM:620320;OMIM:620536
CASR	NCBIGene:846	4		OMIM:145980;OMIM:239200;OMIM:601198;OMIM:612899	OMIM:145980;OMIM:239200;OMIM:601198;OMIM:612899
IGF2	NCBIGene:3481	4		OMIM:130650;OMIM:180860;OMIM:194070;OMIM:616489	OMIM:130650;OMIM:180860;OMIM:194070;OMIM:616489
SQSTM1	NCBIGene:8878	4		OMIM:167250;OMIM:616437;OMIM:617145;OMIM:617158	OMIM:167250;OMIM:616437;OMIM:617145;OMIM:617158
ATP1A2	NCBIGene:477	4		OMIM:104290;OMIM:602481;OMIM:619602;OMIM:619605	OMIM:104290;OMIM:602481;OMIM:619602;OMIM:619605
IKBKG	NCBIGene:8517	4		OMIM:300291;OMIM:300636;OMIM:301081;OMIM:308300	OMIM:300291;OMIM:300636;OMIM:301081;OMIM:308300
SPTAN1	NCBIGene:6709	4		OMIM:613477;OMIM:620528;OMIM:620538;OMIM:620540	OMIM:613477;OMIM:620528;OMIM:620538;OMIM:620540
NLRP1	NCBIGene:22861	4		OMIM:606579;OMIM:615225;OMIM:617388;OMIM:618803	OMIM:606579;OMIM:615225;OMIM:617388;OMIM:618803
IL6ST	NCBIGene:3572	4		OMIM:618523;OMIM:619750;OMIM:619751;OMIM:619752	OMIM:618523;OMIM:619750;OMIM:619751;OMIM:619752
INS	NCBIGene:3630	4		OMIM:125852;OMIM:613370;OMIM:616214;OMIM:618858	OMIM:125852;OMIM:613370;OMIM:616214;OMIM:618858
