gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
GSS	NCBIGene:2937	2		OMIM:231900;OMIM:266130	OMIM:231900;OMIM:266130
PSEN2	NCBIGene:5664	2		OMIM:606889;OMIM:613697	OMIM:606889;OMIM:613697
HMGCR	NCBIGene:3156	2		OMIM:620375;OMIM:620410	OMIM:620375;OMIM:620410
IL2RA	NCBIGene:3559	2		OMIM:601942;OMIM:606367	OMIM:601942;OMIM:606367
SPOP	NCBIGene:8405	2		OMIM:618828;OMIM:618829	OMIM:618828;OMIM:618829
INPP5E	NCBIGene:56623	2		OMIM:213300;OMIM:610156	OMIM:213300;OMIM:610156
INF2	NCBIGene:64423	2		OMIM:613237;OMIM:614455	OMIM:613237;OMIM:614455
IMPG2	NCBIGene:50939	2		OMIM:613581;OMIM:616152	OMIM:613581;OMIM:616152
IMPG1	NCBIGene:3617	2		OMIM:153870;OMIM:616151	OMIM:153870;OMIM:616151
IMPDH1	NCBIGene:3614	2		OMIM:180105;OMIM:613837	OMIM:180105;OMIM:613837
SPRY4	NCBIGene:81848	2		OMIM:146110;OMIM:615266	OMIM:146110;OMIM:615266
SPTB	NCBIGene:6710	2		OMIM:616649;OMIM:617948	OMIM:616649;OMIM:617948
IL2RG	NCBIGene:3561	2		OMIM:300400;OMIM:312863	OMIM:300400;OMIM:312863
IL23R	NCBIGene:149233	2		OMIM:605606;OMIM:612261	OMIM:605606;OMIM:612261
INTU	NCBIGene:27152	2		OMIM:617925;OMIM:617926	OMIM:617925;OMIM:617926
SPTBN2	NCBIGene:6712	2		OMIM:600224;OMIM:615386	OMIM:600224;OMIM:615386
IL13	NCBIGene:3596	2		OMIM:600807;OMIM:607154	OMIM:600807;OMIM:607154
IL10RB	NCBIGene:3588	2		OMIM:610424;OMIM:612567	OMIM:610424;OMIM:612567
SPTLC1	NCBIGene:10558	2		OMIM:162400;OMIM:620285	OMIM:162400;OMIM:620285
IKZF2	NCBIGene:22807	2		OMIM:621233;OMIM:621234	OMIM:621233;OMIM:621234
SPTSSA	NCBIGene:171546	2		OMIM:620416;OMIM:620417	OMIM:620416;OMIM:620417
SRC	NCBIGene:6714	2		OMIM:114500;OMIM:616937	OMIM:114500;OMIM:616937
WDR35	NCBIGene:57539	2		OMIM:613610;OMIM:614091	OMIM:613610;OMIM:614091
IKBKB	NCBIGene:3551	2		OMIM:615592;OMIM:618204	OMIM:615592;OMIM:618204
SPINK1	NCBIGene:6690	2		OMIM:167800;OMIM:608189	OMIM:167800;OMIM:608189
IRF4	NCBIGene:3662	2		OMIM:611724;OMIM:621097	OMIM:611724;OMIM:621097
HMOX1	NCBIGene:3162	2		OMIM:606963;OMIM:614034	OMIM:606963;OMIM:614034
SOX18	NCBIGene:54345	2		OMIM:137940;OMIM:607823	OMIM:137940;OMIM:607823
KAT6B	NCBIGene:23522	2		OMIM:603736;OMIM:606170	OMIM:603736;OMIM:606170
KASH5	NCBIGene:147872	2		OMIM:620547;OMIM:620548	OMIM:620547;OMIM:620548
KANK2	NCBIGene:25959	2		OMIM:616099;OMIM:617783	OMIM:616099;OMIM:617783
JUP	NCBIGene:3728	2		OMIM:601214;OMIM:611528	OMIM:601214;OMIM:611528
JPH2	NCBIGene:57158	2		OMIM:613873;OMIM:619492	OMIM:613873;OMIM:619492
JPH1	NCBIGene:56704	2		OMIM:607831;OMIM:620964	OMIM:607831;OMIM:620964
JAM2	NCBIGene:58494	2		OMIM:213600;OMIM:618824	OMIM:213600;OMIM:618824
SOX17	NCBIGene:64321	2		OMIM:613674;OMIM:621248	OMIM:613674;OMIM:621248
WDPCP	NCBIGene:51057	2		OMIM:217085;OMIM:615992	OMIM:217085;OMIM:615992
ITPR3	NCBIGene:3710	2		OMIM:620111;OMIM:621254	OMIM:620111;OMIM:621254
IRF5	NCBIGene:3663	2		OMIM:612245;OMIM:612251	OMIM:612245;OMIM:612251
SOX3	NCBIGene:6658	2		OMIM:300123;OMIM:312000	OMIM:300123;OMIM:312000
ITPA	NCBIGene:3704	2		OMIM:613850;OMIM:616647	OMIM:613850;OMIM:616647
ITGB4	NCBIGene:3691	2		OMIM:226730;OMIM:619816	OMIM:226730;OMIM:619816
SP110	NCBIGene:3431	2		OMIM:235550;OMIM:607948	OMIM:235550;OMIM:607948
ITGA6	NCBIGene:3655	2		OMIM:226730;OMIM:619817	OMIM:226730;OMIM:619817
SPATA22	NCBIGene:84690	2		OMIM:621001;OMIM:621002	OMIM:621001;OMIM:621002
IRGM	NCBIGene:345611	2		OMIM:607948;OMIM:612278	OMIM:607948;OMIM:612278
IRF8	NCBIGene:3394	2		OMIM:226990;OMIM:614893	OMIM:226990;OMIM:614893
SPECC1L	NCBIGene:23384	2		OMIM:145420;OMIM:600251	OMIM:145420;OMIM:600251
IHH	NCBIGene:3549	2		OMIM:112500;OMIM:607778	OMIM:112500;OMIM:607778
SRCAP	NCBIGene:10847	2		OMIM:136140;OMIM:619595	OMIM:136140;OMIM:619595
IGHMBP2	NCBIGene:3508	2		OMIM:604320;OMIM:616155	OMIM:604320;OMIM:616155
HR	NCBIGene:55806	2		OMIM:203655;OMIM:209500	OMIM:203655;OMIM:209500
STT3A	NCBIGene:3703	2		OMIM:615596;OMIM:619714	OMIM:615596;OMIM:619714
HSPG2	NCBIGene:3339	2		OMIM:224410;OMIM:255800	OMIM:224410;OMIM:255800
HSPD1	NCBIGene:3329	2		OMIM:605280;OMIM:612233	OMIM:605280;OMIM:612233
HSPB1	NCBIGene:3315	2		OMIM:606595;OMIM:608634	OMIM:606595;OMIM:608634
GLRX5	NCBIGene:51218	2		OMIM:616859;OMIM:616860	OMIM:616859;OMIM:616860
HSPA9	NCBIGene:3313	2		OMIM:182170;OMIM:616854	OMIM:182170;OMIM:616854
HSD17B4	NCBIGene:3295	2		OMIM:233400;OMIM:261515	OMIM:233400;OMIM:261515
HS6ST1	NCBIGene:9394	2		OMIM:146110;OMIM:614880	OMIM:146110;OMIM:614880
STUB1	NCBIGene:10273	2		OMIM:615768;OMIM:618093	OMIM:615768;OMIM:618093
HPRT1	NCBIGene:3251	2		OMIM:300322;OMIM:300323	OMIM:300322;OMIM:300323
WDR4	NCBIGene:10785	2		OMIM:618346;OMIM:618347	OMIM:618346;OMIM:618347
HPGD	NCBIGene:3248	2		OMIM:119900;OMIM:259100	OMIM:119900;OMIM:259100
HPDL	NCBIGene:84842	2		OMIM:619026;OMIM:619027	OMIM:619026;OMIM:619027
HPD	NCBIGene:3242	2		OMIM:140350;OMIM:276710	OMIM:140350;OMIM:276710
WNT10B	NCBIGene:7480	2		OMIM:225300;OMIM:617073	OMIM:225300;OMIM:617073
HOXA13	NCBIGene:3209	2		OMIM:140000;OMIM:176305	OMIM:140000;OMIM:176305
HNRNPA2B1	NCBIGene:3181	2		OMIM:615422;OMIM:620460	OMIM:615422;OMIM:620460
STX3	NCBIGene:6809	2		OMIM:619445;OMIM:619446	OMIM:619445;OMIM:619446
HNMT	NCBIGene:3176	2		OMIM:600807;OMIM:616739	OMIM:600807;OMIM:616739
WNT4	NCBIGene:54361	2		OMIM:158330;OMIM:611812	OMIM:158330;OMIM:611812
HTRA1	NCBIGene:5654	2		OMIM:600142;OMIM:616779	OMIM:600142;OMIM:616779
HTRA2	NCBIGene:27429	2		OMIM:610297;OMIM:617248	OMIM:610297;OMIM:617248
HTT	NCBIGene:3064	2		OMIM:143100;OMIM:617435	OMIM:143100;OMIM:617435
IBA57	NCBIGene:200205	2		OMIM:615330;OMIM:616451	OMIM:615330;OMIM:616451
WDR45	NCBIGene:11152	2		OMIM:300894;OMIM:615179	OMIM:300894;OMIM:615179
SRD5A3	NCBIGene:79644	2		OMIM:612379;OMIM:612713	OMIM:612379;OMIM:612713
SREBF1	NCBIGene:6720	2		OMIM:158310;OMIM:619016	OMIM:158310;OMIM:619016
WDR81	NCBIGene:124997	2		OMIM:610185;OMIM:617967	OMIM:610185;OMIM:617967
SRP54	NCBIGene:6729	2		OMIM:260400;OMIM:618752	OMIM:260400;OMIM:618752
SRY	NCBIGene:6736	2		OMIM:400044;OMIM:400045	OMIM:400044;OMIM:400045
SSX1	NCBIGene:6756	2		OMIM:300813;OMIM:301099	OMIM:300813;OMIM:301099
ST3GAL3	NCBIGene:6487	2		OMIM:611090;OMIM:615006	OMIM:611090;OMIM:615006
STAG2	NCBIGene:10735	2		OMIM:301022;OMIM:301043	OMIM:301022;OMIM:301043
STAG3	NCBIGene:10734	2		OMIM:615723;OMIM:619672	OMIM:615723;OMIM:619672
WHRN	NCBIGene:25861	2		OMIM:607084;OMIM:611383	OMIM:607084;OMIM:611383
WNK1	NCBIGene:65125	2		OMIM:201300;OMIM:614492	OMIM:201300;OMIM:614492
IFNAR2	NCBIGene:3455	2		OMIM:610424;OMIM:616669	OMIM:610424;OMIM:616669
STAT2	NCBIGene:6773	2		OMIM:616636;OMIM:618886	OMIM:616636;OMIM:618886
STAT3	NCBIGene:6774	2		OMIM:147060;OMIM:615952	OMIM:147060;OMIM:615952
WNT1	NCBIGene:7471	2		OMIM:615220;OMIM:615221	OMIM:615220;OMIM:615221
STAT4	NCBIGene:6775	2		OMIM:612253;OMIM:620443	OMIM:612253;OMIM:620443
STAT5B	NCBIGene:6777	2		OMIM:245590;OMIM:618985	OMIM:245590;OMIM:618985
ICOS	NCBIGene:29851	2		OMIM:240500;OMIM:607594	OMIM:240500;OMIM:607594
TCAP	NCBIGene:8557	2		OMIM:601954;OMIM:607487	OMIM:601954;OMIM:607487
GCM2	NCBIGene:9247	2		OMIM:617343;OMIM:618883	OMIM:617343;OMIM:618883
TCF12	NCBIGene:6938	2		OMIM:615314;OMIM:619718	OMIM:615314;OMIM:619718
EPHB4	NCBIGene:2050	2		OMIM:617300;OMIM:618196	OMIM:617300;OMIM:618196
TNXB	NCBIGene:7148	2		OMIM:606408;OMIM:615963	OMIM:606408;OMIM:615963
TOP3A	NCBIGene:7156	2		OMIM:618097;OMIM:618098	OMIM:618097;OMIM:618098
ERCC5	NCBIGene:2073	2		OMIM:278780;OMIM:616570	OMIM:278780;OMIM:616570
TOR1A	NCBIGene:1861	2		OMIM:128100;OMIM:618947	OMIM:128100;OMIM:618947
ERCC3	NCBIGene:2071	2		OMIM:610651;OMIM:616390	OMIM:610651;OMIM:616390
TRRAP	NCBIGene:8295	2		OMIM:618454;OMIM:618778	OMIM:618454;OMIM:618778
TRPV3	NCBIGene:162514	2		OMIM:614594;OMIM:616400	OMIM:614594;OMIM:616400
ZMPSTE24	NCBIGene:10269	2		OMIM:275210;OMIM:608612	OMIM:275210;OMIM:608612
TPH2	NCBIGene:121278	2		OMIM:608516;OMIM:613003	OMIM:608516;OMIM:613003
EPHB2	NCBIGene:2048	2		OMIM:603688;OMIM:618462	OMIM:603688;OMIM:618462
ELANE	NCBIGene:1991	2		OMIM:162800;OMIM:202700	OMIM:162800;OMIM:202700
EPCAM	NCBIGene:4072	2		OMIM:613217;OMIM:613244	OMIM:613217;OMIM:613244
TPM1	NCBIGene:7168	2		OMIM:115196;OMIM:611878	OMIM:115196;OMIM:611878
ZNF408	NCBIGene:79797	2		OMIM:616468;OMIM:616469	OMIM:616468;OMIM:616469
ENAM	NCBIGene:10117	2		OMIM:104500;OMIM:204650	OMIM:104500;OMIM:204650
EMILIN1	NCBIGene:11117	2		OMIM:620080;OMIM:620908	OMIM:620080;OMIM:620908
ELP1	NCBIGene:8518	2		OMIM:155255;OMIM:223900	OMIM:155255;OMIM:223900
TPM2	NCBIGene:7169	2		OMIM:108120;OMIM:609285	OMIM:108120;OMIM:609285
TPM3	NCBIGene:7170	2		OMIM:255310;OMIM:609284	OMIM:255310;OMIM:609284
ELMOD3	NCBIGene:84173	2		OMIM:615429;OMIM:619500	OMIM:615429;OMIM:619500
ERCC8	NCBIGene:1161	2		OMIM:216400;OMIM:614621	OMIM:216400;OMIM:614621
ERF	NCBIGene:2077	2		OMIM:600775;OMIM:617180	OMIM:600775;OMIM:617180
ERI1	NCBIGene:90459	2		OMIM:620662;OMIM:620663	OMIM:620662;OMIM:620663
ERLIN2	NCBIGene:11160	2		OMIM:611225;OMIM:620512	OMIM:611225;OMIM:620512
FANCM	NCBIGene:57697	2		OMIM:618086;OMIM:618096	OMIM:618086;OMIM:618096
FANCB	NCBIGene:2187	2		OMIM:300514;OMIM:314390	OMIM:300514;OMIM:314390
FAM111A	NCBIGene:63901	2		OMIM:127000;OMIM:602361	OMIM:127000;OMIM:602361
TNFRSF13C	NCBIGene:115650	2		OMIM:240500;OMIM:613494	OMIM:240500;OMIM:613494
F8	NCBIGene:2157	2		OMIM:301071;OMIM:306700	OMIM:301071;OMIM:306700
F7	NCBIGene:2155	2		OMIM:227500;OMIM:608446	OMIM:227500;OMIM:608446
ZIC3	NCBIGene:7547	2		OMIM:306955;OMIM:314390	OMIM:306955;OMIM:314390
TNFRSF1A	NCBIGene:7132	2		OMIM:142680;OMIM:614810	OMIM:142680;OMIM:614810
TNNC1	NCBIGene:7134	2		OMIM:611879;OMIM:613243	OMIM:611879;OMIM:613243
F12	NCBIGene:2161	2		OMIM:234000;OMIM:610618	OMIM:234000;OMIM:610618
EYA4	NCBIGene:2070	2		OMIM:601316;OMIM:605362	OMIM:601316;OMIM:605362
EXT2	NCBIGene:2132	2		OMIM:133701;OMIM:616682	OMIM:133701;OMIM:616682
EXT1	NCBIGene:2131	2		OMIM:133700;OMIM:215300	OMIM:133700;OMIM:215300
EVC2	NCBIGene:132884	2		OMIM:193530;OMIM:225500	OMIM:193530;OMIM:225500
EVC	NCBIGene:2121	2		OMIM:193530;OMIM:225500	OMIM:193530;OMIM:225500
ETV6	NCBIGene:2120	2		OMIM:601626;OMIM:616216	OMIM:601626;OMIM:616216
ESPN	NCBIGene:83715	2		OMIM:609006;OMIM:618632	OMIM:609006;OMIM:618632
ESCO2	NCBIGene:157570	2		OMIM:216100;OMIM:268300	OMIM:216100;OMIM:268300
ERMAP	NCBIGene:114625	2		OMIM:111620;OMIM:111750	OMIM:111620;OMIM:111750
TPP1	NCBIGene:1200	2		OMIM:204500;OMIM:609270	OMIM:204500;OMIM:609270
ELAC2	NCBIGene:60528	2		OMIM:614731;OMIM:615440	OMIM:614731;OMIM:615440
GLI2	NCBIGene:2736	2		OMIM:610829;OMIM:615849	OMIM:610829;OMIM:615849
DRC1	NCBIGene:92749	2		OMIM:615294;OMIM:620222	OMIM:615294;OMIM:620222
DTNA	NCBIGene:1837	2		OMIM:604169;OMIM:620971	OMIM:604169;OMIM:620971
DSTYK	NCBIGene:25778	2		OMIM:270750;OMIM:610805	OMIM:270750;OMIM:610805
DST	NCBIGene:667	2		OMIM:614653;OMIM:615425	OMIM:614653;OMIM:615425
TRNT1	NCBIGene:51095	2		OMIM:616084;OMIM:616959	OMIM:616084;OMIM:616959
ZSWIM6	NCBIGene:57688	2		OMIM:603671;OMIM:617865	OMIM:603671;OMIM:617865
DSG2	NCBIGene:1829	2		OMIM:610193;OMIM:612877	OMIM:610193;OMIM:612877
DSG1	NCBIGene:1828	2		OMIM:148700;OMIM:615508	OMIM:148700;OMIM:615508
DRD5	NCBIGene:1816	2		OMIM:143465;OMIM:606798	OMIM:143465;OMIM:606798
DRD3	NCBIGene:1814	2		OMIM:181500;OMIM:190300	OMIM:181500;OMIM:190300
DPP6	NCBIGene:1804	2		OMIM:612956;OMIM:616311	OMIM:612956;OMIM:616311
EIF2AK2	NCBIGene:5610	2		OMIM:618877;OMIM:619687	OMIM:618877;OMIM:619687
DPM3	NCBIGene:54344	2		OMIM:612937;OMIM:618992	OMIM:612937;OMIM:618992
DPAGT1	NCBIGene:1798	2		OMIM:608093;OMIM:614750	OMIM:608093;OMIM:614750
DONSON	NCBIGene:29980	2		OMIM:251230;OMIM:617604	OMIM:251230;OMIM:617604
DOK7	NCBIGene:285489	2		OMIM:254300;OMIM:618389	OMIM:254300;OMIM:618389
DNMT3B	NCBIGene:1789	2		OMIM:242860;OMIM:619478	OMIM:242860;OMIM:619478
TRPM3	NCBIGene:80036	2		OMIM:620224;OMIM:620253	OMIM:620224;OMIM:620253
DNMT1	NCBIGene:1786	2		OMIM:604121;OMIM:614116	OMIM:604121;OMIM:614116
TRPM4	NCBIGene:54795	2		OMIM:604559;OMIM:618531	OMIM:604559;OMIM:618531
DNM1L	NCBIGene:10059	2		OMIM:610708;OMIM:614388	OMIM:610708;OMIM:614388
DUSP6	NCBIGene:1848	2		OMIM:146110;OMIM:615269	OMIM:146110;OMIM:615269
TRMU	NCBIGene:55687	2		OMIM:580000;OMIM:613070	OMIM:580000;OMIM:613070
TRIP4	NCBIGene:9325	2		OMIM:616866;OMIM:617066	OMIM:616866;OMIM:617066
DVL1	NCBIGene:1855	2		OMIM:180700;OMIM:616331	OMIM:180700;OMIM:616331
TRAF3	NCBIGene:7187	2		OMIM:614849;OMIM:621096	OMIM:614849;OMIM:621096
EGLN1	NCBIGene:54583	2		OMIM:609070;OMIM:609820	OMIM:609070;OMIM:609820
EGFR	NCBIGene:1956	2		OMIM:211980;OMIM:616069	OMIM:211980;OMIM:616069
EFHC1	NCBIGene:114327	2		OMIM:254770;OMIM:607631	OMIM:254770;OMIM:607631
TRAF3IP2	NCBIGene:10758	2		OMIM:614070;OMIM:615527	OMIM:614070;OMIM:615527
EEF1A2	NCBIGene:1917	2		OMIM:616393;OMIM:616409	OMIM:616393;OMIM:616409
TRDN	NCBIGene:10345	2		OMIM:604772;OMIM:615441	OMIM:604772;OMIM:615441
EDNRA	NCBIGene:1909	2		OMIM:157300;OMIM:616367	OMIM:157300;OMIM:616367
EDN3	NCBIGene:1908	2		OMIM:613265;OMIM:613712	OMIM:613265;OMIM:613712
EDN1	NCBIGene:1906	2		OMIM:612798;OMIM:615706	OMIM:612798;OMIM:615706
TRIM32	NCBIGene:22954	2		OMIM:254110;OMIM:615988	OMIM:254110;OMIM:615988
EDA	NCBIGene:1896	2		OMIM:305100;OMIM:313500	OMIM:305100;OMIM:313500
ECE1	NCBIGene:1889	2		OMIM:145500;OMIM:613870	OMIM:145500;OMIM:613870
EBP	NCBIGene:10682	2		OMIM:300960;OMIM:302960	OMIM:300960;OMIM:302960
DZIP1	NCBIGene:22873	2		OMIM:610840;OMIM:619102	OMIM:610840;OMIM:619102
TRIO	NCBIGene:7204	2		OMIM:617061;OMIM:618825	OMIM:617061;OMIM:618825
TRIP11	NCBIGene:9321	2		OMIM:184260;OMIM:200600	OMIM:184260;OMIM:200600
TRIP13	NCBIGene:9319	2		OMIM:617598;OMIM:619011	OMIM:617598;OMIM:619011
